trip	from	to	distance(meters)
163	Fort Bowie National Historic Site	Chiricahua National Monument	41972
164	Chiricahua National Monument	Coronado National Memorial	154381
165	Coronado National Memorial	Saguaro National Park	140323
166	Saguaro National Park	Tumacácori National Historical Park	105077
167	Tumacácori National Historical Park	Organ Pipe Cactus National Monument	291628
168	Organ Pipe Cactus National Monument	Hohokam Pima National Monument	210621
169	Hohokam Pima National Monument	Casa Grande Ruins National Monument	51229
170	Casa Grande Ruins National Monument	Tonto National Monument	141521
171	Tonto National Monument	Montezuma Castle National Monument	186688
172	Montezuma Castle National Monument	Tuzigoot National Monument	37516
173	Tuzigoot National Monument	Walnut Canyon National Monument	125913
174	Walnut Canyon National Monument	Sunset Crater Volcano National Monument	37028
175	Sunset Crater Volcano National Monument	Wupatki National Monument	31067
176	Wupatki National Monument	Grand Canyon National Park	136892
177	Grand Canyon National Park	Pipe Spring National Monument	339653
178	Pipe Spring National Monument	Zion National Park	103880
179	Zion National Park	Cedar Breaks National Monument	148793
180	Cedar Breaks National Monument	Great Basin National Park	249636
181	Great Basin National Park	Tule Springs Fossil Beds National Monument	486129
182	Tule Springs Fossil Beds National Monument	Lake Mead National Recreation Area	78838
183	Lake Mead National Recreation Area	Castle Mountains National Monument	100698
184	Castle Mountains National Monument	Mojave National Preserve	133694
185	Mojave National Preserve	Joshua Tree National Park	206655
186	Joshua Tree National Park	Cabrillo National Monument	329496
187	Cabrillo National Monument	Santa Monica Mountains National Recreation Area	240819
188	Santa Monica Mountains National Recreation Area	Channel Islands National Park	78965
189	Channel Islands National Park	César E. Chávez National Monument	211586
190	César E. Chávez National Monument	Death Valley National Park	339260
191	Death Valley National Park	Manzanar National Historic Site	208078
192	Manzanar National Historic Site	Sequoia National Park	468652
193	Sequoia National Park	Kings Canyon National Park	95285
194	Kings Canyon National Park	Devils Postpile National Monument	717338
195	Devils Postpile National Monument	Yosemite National Park	567815
196	Yosemite National Park	Pinnacles National Park	306225
197	Pinnacles National Park	Eugene O'Neill National Historic Site	191870
198	Eugene O'Neill National Historic Site	Port Chicago Naval Magazine National Memorial	33378
199	Port Chicago Naval Magazine National Memorial	John Muir National Historic Site	18011
200	John Muir National Historic Site	Rosie the Riveter/World War II Home Front National Historical Park	36655
201	Rosie the Riveter/World War II Home Front National Historical Park	San Francisco Maritime National Historical Park	30647
202	San Francisco Maritime National Historical Park	Golden Gate National Recreation Area	8049
203	Golden Gate National Recreation Area	Fort Point National Historic Site	4806
204	Fort Point National Historic Site	Muir Woods National Monument	20132
205	Muir Woods National Monument	Point Reyes National Seashore	39096
206	Point Reyes National Seashore	Lassen Volcanic National Park	405875
207	Lassen Volcanic National Park	Whiskeytown-Shasta-Trinity National Recreation Area	126677
